Item;Date;From;To;Amount;Currency
Stripe Payment;22.4.2021;GitHub Sponsors;github.com/Byron;843,59;EUR
Stripe Payment;24.5.2021;GitHub Sponsors;github.com/Byron;1030,07;EUR
Stripe Payment;22.6.2021;GitHub Sponsors;github.com/Byron;925,39;EUR
Stripe Payment;22.7.2021;GitHub Sponsors;github.com/Byron;985,84;EUR
Stripe Payment;23.8.2021;GitHub Sponsors;github.com/Byron;966,76;EUR
Stripe Payment;22.9.2021;GitHub Sponsors;github.com/Byron;970,08;EUR
Stripe Payment;22.10.2021;GitHub Sponsors;github.com/Byron;976,72;EUR
Contributor Payment;26.10.2021;github.com/Byron;github.com/caspervonb;-1441,75;EUR
Stripe Payment;22.11.2021;GitHub Sponsors;github.com/Byron;984,01;EUR
Stripe Payment;22.12.2021;GitHub Sponsors;github.com/Byron;1017,75;EUR
Stripe Payment;24.01.2022;GitHub Sponsors;github.com/Byron;1046,04;EUR
Stripe Payment;22.02.2022;GitHub Sponsors;github.com/Byron;1119,96;EUR
